0: "Amateurish Plotter"
210: "Fornicator"
211: "Murderer"
212: "Born in the Purple"
213: "Augustus"
214: "Raider"
215: "Reincarnation"
216: "Adventurer"
217: "Heresiarch"
218: "Peasant Leader"
219: "Witch"
220: "Disinherited"
221: "Denounced"
222: "Accused of Decadence"
223: "Extolled by House"
224: "Loyal"
225: "Disloyal"
226: "Logistician"
227: "Military Engineer"
228: "Aggressive Attacker"
229: "Unyielding Defender"
230: "Forder"
231: "Flexible Leader"
232: "Desert Warrior"
233: "Jungle Stalker"
234: "Reaver"
235: "Reckless"
236: "Holy Warrior"
237: "Open Terrain Expert"
238: "Rough Terrain Expert"
239: "Forest Fighter"
240: "Cautious Leader"
241: "Organizer"
242: "Winter Soldier"
243: "Crusader King"
244: "Chakravarti"
245: "Greatest of Khans"
246: "Paragon"
247: "Consecrated Blood"
248: "Bumbling Squire"
249: "Confident Knight"
250: "Formidable Banneret"
251: "Famous Champion"
252: "Diplomatic Courtier"
253: "Valued Diplomatic Courtier"
254: "Warlike Courtier"
255: "Valued Warlike Courtier"
256: "Administrative Courtier"
257: "Valued Administrative Courtier"
258: "Intrigue Courtier"
259: "Valued Intrigue Courtier"
260: "Scholarly Courtier"
261: "Valued Scholarly Courtier"
262: "Town Dweller"
263: "Mayor Trainee"
264: "Town Maven"
265: "Republican Heir"
266: "Hastiluder"
267: "Traveler"
268: "Detractor of the Caliphate"
269: "Supporter of Caliphal Authority"
